time,voltage,current,real_power,reactive_power,pf,CAP1_health,CAP2_health,CAP3_health,CAP4_health,CAP5_health,CAP6_health
2026-09-22 13:38:05,223.74,0.283,51.23,37.19,0.809,94.90600899154649,91.90600899154649,87.90600899154649,84.90600899154649,80.0,75.0
2026-09-22 13:38:18,223.46,0.28,50.82,36.33,0.814,94.3864489520883,91.38643374537882,87.38642614202409,84.38641853866935,80.0,75.0
2026-09-22 13:38:30,223.25,0.274,50.03,35.17,0.818,93.8661540425798,90.86611584652294,86.86608525382086,83.86606232423453,80.0,75.0
2026-09-22 13:38:43,223.19,0.277,50.01,36.15,0.81,93.34417612232656,90.34410745870588,86.34403878154903,83.34399300128985,80.0,75.0
2026-09-22 13:38:56,223.51,0.275,49.75,36.13,0.809,92.82204744457302,89.82194075928987,85.82181885180555,82.82174265421638,80.0,75.0
2026-09-22 13:39:08,223.18,0.28,50.68,36.49,0.812,92.29981892027698,89.29966681394366,85.29948434505911,82.2993702965948,80.0,75.0
2026-09-22 13:39:21,223.71,0.284,51.97,36.51,0.818,91.77168458867932,88.77147901121796,84.77122015500765,81.77106027414789,80.0,75.0
2026-09-22 13:39:51,223.47,0.276,50.21,35.72,0.815,94.48421938338366,91.48421179859768,87.4841966290257,84.48418904423971,80.0,75.0
2026-09-22 13:40:04,223.66,0.279,50.7,36.24,0.814,93.96314246144476,90.96311964160513,86.9630740019259,83.96305118208628,80.0,75.0
